set lengths :=	l1	l2	l3	l4	l5	l6	l7	l8	l9	l10;
set col :=	j1	j2	j3	j4	j5	j6	j7	j8	j9	j10	j11	j12	j13	j14	j15	j16	j17	j18	j19	j20	j21	j22	j23	j24	j25	j26	j27	j28	j29	j30	j31	j32	j33	j34	j35	j36	j37	j38	j39	j40	j41	j42	j43	j44	j45	j46	j47	j48	j49	j50	j51	j52	j53	j54	j55	j56	j57	j58	j59	j60	j61	j62	j63	j64	j65	j66	j67	j68	j69	j70	j71	j72	j73	j74	j75	j76	j77	j78	j79	j80	j81	j82	j83	j84	j85	j86	j87	j88	j89	j90	j91	j92	j93	j94	j95	j96	j97	j98	j99	j100	j101	j102	j103	j104	j105	j106	j107	j108	j109	j110	j111	j112	j113	j114	j115	j116	j117	j118	j119	j120	j121	j122	j123	j124	j125	j126	j127	j128	j129	j130	j131	j132	j133	j134	j135	j136	j137	j138	j139	j140	j141	j142	j143	j144	j145	j146	j147	j148	j149	j150	j151	j152	j153	j154	j155	j156	j157	j158	j159	j160	j161	j162	j163	j164	j165	j166	j167	j168	j169	j170	j171	j172	j173	j174	j175	j176	j177	j178	j179	j180	j181	j182	j183	j184	j185	j186	j187	j188	j189	j190	j191	j192	j193	j194	j195	j196	j197	j198	j199	j200	j201	j202	j203	j204	j205	j206	j207	j208	j209	j210	j211	j212	j213	j214	j215	j216	j217	j218	j219	j220	j221	j222	j223	j224	j225	j226	j227	j228	j229	j230	j231	j232	j233	j234	j235	j236	j237	j238	j239	j240	j241	j242	j243	j244	j245	j246	j247	j248	j249	j250	j251	j252	j253	j254	j255	j256	j257	j258	j259	j260	j261	j262	j263	j264	j265	j266	j267	j268	j269	j270	j271	j272	j273	j274	j275	j276	j277	j278	j279	j280	j281	j282	j283	j284	j285	j286	j287	j288	j289	j290	j291	j292	j293	j294	j295	j296	j297	j298	j299	j300	j301	j302	j303	j304	j305	j306	j307	j308	j309	j310	j311	j312	j313	j314	j315	j316	j317	j318	j319	j320	j321	j322	j323	j324	j325	j326	j327	j328	j329	j330	j331	j332	j333	j334	j335	j336	j337	j338	j339	j340	j341	j342	j343	j344	j345	j346	j347	j348	j349	j350	j351	j352	j353	j354	j355;
# lengths:	6000	5500	5200	4800	4400	3500	2500	2400	1700	1150

param cutScheme :	l1	l2	l3	l4	l5	l6	l7	l8	l9	l10:=
	j50	0	1	0	0	0	0	0	0	0	1
	j51	0	1	0	0	0	0	0	0	0	0
	j52	0	0	2	0	0	0	0	0	0	1
	j53	0	0	2	0	0	0	0	0	0	0
	j54	0	0	1	1	0	0	0	0	1	0
	j55	0	0	1	0	1	0	0	1	0	0
	j56	0	0	1	0	0	1	1	0	0	0
	j57	0	0	1	0	0	0	2	0	1	0
	j58	0	0	1	0	0	0	1	1	1	0
	j59	0	0	1	0	0	0	1	0	2	0
	j60	0	0	1	0	0	0	1	0	1	2
	j61	0	0	1	0	0	0	1	0	1	1
	j62	0	0	1	0	0	0	0	2	1	0
	j63	0	0	1	0	0	0	0	1	2	0
	j64	0	0	1	0	0	0	0	1	1	2
	j65	0	0	1	0	0	0	0	1	1	1
	j66	0	0	1	0	0	0	0	0	4	0
	j67	0	0	1	0	0	0	0	0	3	1
	j68	0	0	1	0	0	0	0	0	3	0
	j69	0	0	1	0	0	0	0	0	2	2
	j70	0	0	1	0	0	0	0	0	2	1
	j71	0	0	1	0	0	0	0	0	1	4
	j72	0	0	1	0	0	0	0	0	1	3
	j73	0	0	1	0	0	0	0	0	0	5
	j74	0	0	1	0	0	0	0	0	0	4
	j75	0	0	1	0	0	0	0	0	0	3
	j76	0	0	1	0	0	0	0	0	0	2
	j77	0	0	1	0	0	0	0	0	0	1
	j78	0	0	1	0	0	0	0	0	0	0
	j79	0	0	0	2	0	0	0	1	0	0
	j80	0	0	0	2	0	0	0	0	1	0
	j81	0	0	0	2	0	0	0	0	0	2
	j82	0	0	0	2	0	0	0	0	0	1
	j83	0	0	0	2	0	0	0	0	0	0
	j84	0	0	0	1	1	0	1	0	0	0
	j85	0	0	0	1	0	2	0	0	0	0
	j86	0	0	0	1	0	1	1	0	0	1
	j87	0	0	0	1	0	1	0	1	0	1
	j88	0	0	0	1	0	1	0	0	2	0
	j89	0	0	0	1	0	1	0	0	1	1
	j90	0	0	0	1	0	1	0	0	1	0
	j91	0	0	0	1	0	0	2	0	1	0
	j92	0	0	0	1	0	0	1	1	1	0
	j93	0	0	0	1	0	0	1	0	2	1
	j94	0	0	0	1	0	0	1	0	1	2
	j95	0	0	0	1	0	0	1	0	1	1
	j96	0	0	0	1	0	0	0	3	0	0
	j97	0	0	0	1	0	0	0	2	1	0
	j98	0	0	0	1	0	0	0	2	0	2
	j99	0	0	0	1	0	0	0	2	0	1
	j100	0	0	0	1	0	0	0	1	2	1
	j101	0	0	0	1	0	0	0	1	1	2
	j102	0	0	0	1	0	0	0	1	1	1
	j103	0	0	0	1	0	0	0	0	4	0
	j104	0	0	0	1	0	0	0	0	3	1
	j105	0	0	0	1	0	0	0	0	3	0
	j106	0	0	0	1	0	0	0	0	2	3
	j107	0	0	0	1	0	0	0	0	2	2
	j108	0	0	0	1	0	0	0	0	1	4
	j109	0	0	0	1	0	0	0	0	1	3
	j110	0	0	0	1	0	0	0	0	0	6
	j111	0	0	0	1	0	0	0	0	0	5
	j112	0	0	0	1	0	0	0	0	0	4
	j113	0	0	0	1	0	0	0	0	0	3
	j114	0	0	0	1	0	0	0	0	0	2
	j115	0	0	0	1	0	0	0	0	0	1
	j116	0	0	0	1	0	0	0	0	0	0
	j117	0	0	0	0	2	0	1	0	0	0
	j118	0	0	0	0	2	0	0	1	0	0
	j119	0	0	0	0	2	0	0	0	1	1
	j120	0	0	0	0	2	0	0	0	0	2
	j121	0	0	0	0	2	0	0	0	0	1
	j122	0	0	0	0	2	0	0	0	0	0
	j123	0	0	0	0	1	2	0	0	0	0
	j124	0	0	0	0	1	1	1	0	0	1
	j125	0	0	0	0	1	1	0	1	1	0
	j126	0	0	0	0	1	1	0	0	2	0
	j127	0	0	0	0	1	1	0	0	1	2
	j128	0	0	0	0	1	1	0	0	1	1
	j129	0	0	0	0	1	0	3	0	0	0
	j130	0	0	0	0	1	0	2	1	0	0
	j131	0	0	0	0	1	0	2	0	1	0
	j132	0	0	0	0	1	0	2	0	0	2
	j133	0	0	0	0	1	0	2	0	0	1
	j134	0	0	0	0	1	0	1	2	0	0
	j135	0	0	0	0	1	0	1	1	1	0
	j136	0	0	0	0	1	0	1	1	0	2
	j137	0	0	0	0	1	0	1	1	0	1
	j138	0	0	0	0	1	0	0	3	0	0
	j139	0	0	0	0	1	0	0	2	1	0
	j140	0	0	0	0	1	0	0	2	0	2
	j141	0	0	0	0	1	0	0	2	0	1
	j142	0	0	0	0	1	0	0	1	3	0
	j143	0	0	0	0	1	0	0	1	2	1
	j144	0	0	0	0	1	0	0	1	2	0
	j145	0	0	0	0	1	0	0	0	4	0
	j146	0	0	0	0	1	0	0	0	3	2
	j147	0	0	0	0	1	0	0	0	3	1
	j148	0	0	0	0	1	0	0	0	2	3
	j149	0	0	0	0	1	0	0	0	2	2
	j150	0	0	0	0	1	0	0	0	1	5
	j151	0	0	0	0	1	0	0	0	1	4
	j152	0	0	0	0	1	0	0	0	0	6
	j153	0	0	0	0	1	0	0	0	0	5
	j154	0	0	0	0	1	0	0	0	0	4
	j155	0	0	0	0	1	0	0	0	0	3
	j156	0	0	0	0	1	0	0	0	0	2
	j157	0	0	0	0	1	0	0	0	0	1
	j158	0	0	0	0	1	0	0	0	0	0
	j159	0	0	0	0	0	3	0	0	0	1
	j160	0	0	0	0	0	3	0	0	0	0
	j161	0	0	0	0	0	2	2	0	0	0
	j162	0	0	0	0	0	2	1	1	0	0
	j163	0	0	0	0	0	2	1	0	1	0
	j164	0	0	0	0	0	2	1	0	0	2
	j165	0	0	0	0	0	2	1	0	0	1
	j166	0	0	0	0	0	2	0	2	0	0
	j167	0	0	0	0	0	2	0	1	1	0
	j168	0	0	0	0	0	2	0	1	0	2
	j169	0	0	0	0	0	2	0	1	0	1
	j170	0	0	0	0	0	2	0	0	2	1
	j171	0	0	0	0	0	2	0	0	1	2
	j172	0	0	0	0	0	2	0	0	1	1
	j173	0	0	0	0	0	2	0	0	0	4
	j174	0	0	0	0	0	2	0	0	0	3
	j175	0	0	0	0	0	2	0	0	0	2
	j176	0	0	0	0	0	2	0	0	0	1
	j177	0	0	0	0	0	2	0	0	0	0
	j178	0	0	0	0	0	1	3	0	0	0
	j179	0	0	0	0	0	1	2	1	0	0
	j180	0	0	0	0	0	1	2	0	2	0
	j181	0	0	0	0	0	1	2	0	1	1
	j182	0	0	0	0	0	1	2	0	1	0
	j183	0	0	0	0	0	1	1	2	0	1
	j184	0	0	0	0	0	1	1	1	2	0
	j185	0	0	0	0	0	1	1	1	1	1
	j186	0	0	0	0	0	1	1	1	1	0
	j187	0	0	0	0	0	1	0	3	0	1
	j188	0	0	0	0	0	1	0	2	2	0
	j189	0	0	0	0	0	1	0	2	1	1
	j190	0	0	0	0	0	1	0	2	1	0
	j191	0	0	0	0	0	1	0	1	3	0
	j192	0	0	0	0	0	1	0	1	2	2
	j193	0	0	0	0	0	1	0	1	2	1
	j194	0	0	0	0	0	1	0	0	5	0
	j195	0	0	0	0	0	1	0	0	4	1
	j196	0	0	0	0	0	1	0	0	4	0
	j197	0	0	0	0	0	1	0	0	3	2
	j198	0	0	0	0	0	1	0	0	3	1
	j199	0	0	0	0	0	1	0	0	2	4
	j200	0	0	0	0	0	1	0	0	2	3
	j201	0	0	0	0	0	1	0	0	1	5
	j202	0	0	0	0	0	1	0	0	1	4
	j203	0	0	0	0	0	1	0	0	0	7
	j204	0	0	0	0	0	1	0	0	0	6
	j205	0	0	0	0	0	1	0	0	0	5
	j206	0	0	0	0	0	1	0	0	0	4
	j207	0	0	0	0	0	1	0	0	0	3
	j208	0	0	0	0	0	1	0	0	0	2
	j209	0	0	0	0	0	1	0	0	0	1
	j210	0	0	0	0	0	1	0	0	0	0
	j211	0	0	0	0	0	0	4	0	1	0
	j212	0	0	0	0	0	0	4	0	0	1
	j213	0	0	0	0	0	0	4	0	0	0
	j214	0	0	0	0	0	0	3	1	1	0
	j215	0	0	0	0	0	0	3	0	2	0
	j216	0	0	0	0	0	0	3	0	1	2
	j217	0	0	0	0	0	0	3	0	1	1
	j218	0	0	0	0	0	0	3	0	0	3
	j219	0	0	0	0	0	0	3	0	0	2
	j220	0	0	0	0	0	0	3	0	0	1
	j221	0	0	0	0	0	0	3	0	0	0
	j222	0	0	0	0	0	0	2	2	1	0
	j223	0	0	0	0	0	0	2	1	2	1
	j224	0	0	0	0	0	0	2	1	1	2
	j225	0	0	0	0	0	0	2	1	1	1
	j226	0	0	0	0	0	0	2	0	4	0
	j227	0	0	0	0	0	0	2	0	3	1
	j228	0	0	0	0	0	0	2	0	3	0
	j229	0	0	0	0	0	0	2	0	2	3
	j230	0	0	0	0	0	0	2	0	2	2
	j231	0	0	0	0	0	0	2	0	1	4
	j232	0	0	0	0	0	0	2	0	1	3
	j233	0	0	0	0	0	0	2	0	0	6
	j234	0	0	0	0	0	0	2	0	0	5
	j235	0	0	0	0	0	0	2	0	0	4
	j236	0	0	0	0	0	0	2	0	0	3
	j237	0	0	0	0	0	0	2	0	0	2
	j238	0	0	0	0	0	0	2	0	0	1
	j239	0	0	0	0	0	0	2	0	0	0
	j240	0	0	0	0	0	0	1	3	1	0
	j241	0	0	0	0	0	0	1	2	2	1
	j242	0	0	0	0	0	0	1	2	1	2
	j243	0	0	0	0	0	0	1	2	1	1
	j244	0	0	0	0	0	0	1	1	4	0
	j245	0	0	0	0	0	0	1	1	3	1
	j246	0	0	0	0	0	0	1	1	3	0
	j247	0	0	0	0	0	0	1	0	5	0
	j248	0	0	0	0	0	0	1	0	4	2
	j249	0	0	0	0	0	0	1	0	4	1
	j250	0	0	0	0	0	0	1	0	3	3
	j251	0	0	0	0	0	0	1	0	3	2
	j252	0	0	0	0	0	0	1	0	2	5
	j253	0	0	0	0	0	0	1	0	2	4
	j254	0	0	0	0	0	0	1	0	1	6
	j255	0	0	0	0	0	0	1	0	1	5
	j256	0	0	0	0	0	0	1	0	0	8
	j257	0	0	0	0	0	0	1	0	0	7
	j258	0	0	0	0	0	0	1	0	0	6
	j259	0	0	0	0	0	0	1	0	0	5
	j260	0	0	0	0	0	0	1	0	0	4
	j261	0	0	0	0	0	0	1	0	0	3
	j262	0	0	0	0	0	0	1	0	0	2
	j263	0	0	0	0	0	0	1	0	0	1
	j264	0	0	0	0	0	0	1	0	0	0
	j265	0	0	0	0	0	0	0	5	0	0
	j266	0	0	0	0	0	0	0	4	1	0
	j267	0	0	0	0	0	0	0	4	0	2
	j268	0	0	0	0	0	0	0	4	0	1
	j269	0	0	0	0	0	0	0	4	0	0
	j270	0	0	0	0	0	0	0	3	2	1
	j271	0	0	0	0	0	0	0	3	1	2
	j272	0	0	0	0	0	0	0	3	1	1
	j273	0	0	0	0	0	0	0	3	0	4
	j274	0	0	0	0	0	0	0	3	0	3
	j275	0	0	0	0	0	0	0	3	0	2
	j276	0	0	0	0	0	0	0	3	0	1
	j277	0	0	0	0	0	0	0	3	0	0
	j278	0	0	0	0	0	0	0	2	4	0
	j279	0	0	0	0	0	0	0	2	3	1
	j280	0	0	0	0	0	0	0	2	3	0
	j281	0	0	0	0	0	0	0	2	2	3
	j282	0	0	0	0	0	0	0	2	2	2
	j283	0	0	0	0	0	0	0	2	1	4
	j284	0	0	0	0	0	0	0	2	1	3
	j285	0	0	0	0	0	0	0	2	0	6
	j286	0	0	0	0	0	0	0	2	0	5
	j287	0	0	0	0	0	0	0	2	0	4
	j288	0	0	0	0	0	0	0	2	0	3
	j289	0	0	0	0	0	0	0	2	0	2
	j290	0	0	0	0	0	0	0	2	0	1
	j291	0	0	0	0	0	0	0	2	0	0
	j292	0	0	0	0	0	0	0	1	5	0
	j293	0	0	0	0	0	0	0	1	4	2
	j294	0	0	0	0	0	0	0	1	4	1
	j295	0	0	0	0	0	0	0	1	3	3
	j296	0	0	0	0	0	0	0	1	3	2
	j297	0	0	0	0	0	0	0	1	2	5
	j298	0	0	0	0	0	0	0	1	2	4
	j299	0	0	0	0	0	0	0	1	1	6
	j300	0	0	0	0	0	0	0	1	1	5
	j301	0	0	0	0	0	0	0	1	0	8
	j302	0	0	0	0	0	0	0	1	0	7
	j303	0	0	0	0	0	0	0	1	0	6
	j304	0	0	0	0	0	0	0	1	0	5
	j305	0	0	0	0	0	0	0	1	0	4
	j306	0	0	0	0	0	0	0	1	0	3
	j307	0	0	0	0	0	0	0	1	0	2
	j308	0	0	0	0	0	0	0	1	0	1
	j309	0	0	0	0	0	0	0	1	0	0
	j310	0	0	0	0	0	0	0	0	7	0
	j311	0	0	0	0	0	0	0	0	6	1
	j312	0	0	0	0	0	0	0	0	6	0
	j313	0	0	0	0	0	0	0	0	5	3
	j314	0	0	0	0	0	0	0	0	5	2
	j315	0	0	0	0	0	0	0	0	5	1
	j316	0	0	0	0	0	0	0	0	5	0
	j317	0	0	0	0	0	0	0	0	4	4
	j318	0	0	0	0	0	0	0	0	4	3
	j319	0	0	0	0	0	0	0	0	4	2
	j320	0	0	0	0	0	0	0	0	4	1
	j321	0	0	0	0	0	0	0	0	4	0
	j322	0	0	0	0	0	0	0	0	3	6
	j323	0	0	0	0	0	0	0	0	3	5
	j324	0	0	0	0	0	0	0	0	3	4
	j325	0	0	0	0	0	0	0	0	3	3
	j326	0	0	0	0	0	0	0	0	3	2
	j327	0	0	0	0	0	0	0	0	3	1
	j328	0	0	0	0	0	0	0	0	3	0
	j329	0	0	0	0	0	0	0	0	2	7
	j330	0	0	0	0	0	0	0	0	2	6
	j331	0	0	0	0	0	0	0	0	2	5
	j332	0	0	0	0	0	0	0	0	2	4
	j333	0	0	0	0	0	0	0	0	2	3
	j334	0	0	0	0	0	0	0	0	2	2
	j335	0	0	0	0	0	0	0	0	2	1
	j336	0	0	0	0	0	0	0	0	2	0
	j337	0	0	0	0	0	0	0	0	1	8
	j338	0	0	0	0	0	0	0	0	1	7
	j339	0	0	0	0	0	0	0	0	1	6
	j340	0	0	0	0	0	0	0	0	1	5
	j341	0	0	0	0	0	0	0	0	1	4
	j342	0	0	0	0	0	0	0	0	1	3
	j343	0	0	0	0	0	0	0	0	1	2
	j344	0	0	0	0	0	0	0	0	1	1
	j345	0	0	0	0	0	0	0	0	1	0
	j346	0	0	0	0	0	0	0	0	0	10
	j347	0	0	0	0	0	0	0	0	0	9
	j348	0	0	0	0	0	0	0	0	0	8
	j349	0	0	0	0	0	0	0	0	0	7
	j350	0	0	0	0	0	0	0	0	0	6
	j351	0	0	0	0	0	0	0	0	0	5
	j352	0	0	0	0	0	0	0	0	0	4
	j353	0	0	0	0	0	0	0	0	0	3
	j354	0	0	0	0	0	0	0	0	0	2
	j355	0	0	0	0	0	0	0	0	0	1
;
param amounts :=
l1	200
l2	150
l3	220
l4	100
l5	100
l6	264
l7	80
l8	156
l9	50
l10	150
;
